sample_index,shape,init_Mach,init_altitude_m,init_T_inf_K,init_rho_kg_m3,init_mu_Pa_s,init_velocity_m_s,cone_half_angle_deg,nose_radius_m,cone_slant_length_m,base_radius_m,x_sensor_m,T_wall_K,Tw_over_Tinf_init,mass_kg,A_ref_m2,roughness_m,transition_detected,transition_altitude_m,transition_Mach,N_at_transition,Re_x_at_transition,mu_star_at_transition,Re_crit_low_used,Re_crit_high_used
6538,cone,4.6831523258009256,76636.67476082814,216.65,2.6963373477237678e-05,1.4215474148823518e-05,1381.8677325016627,12.370557599810056,0.025699489789343433,42.12455071216485,9.238992904294596,1.9657018376058664,553.3644877398639,2.5541864192931634,324.679921400642,268.16317554246496,0.00029275168366152225,True,33946.44653835341,4.6831523258009256,7.655688605888984,1128301.439696743,2.8901692953816615e-05,1064133.6349643276,2128267.2705623503
6539,cone,5.93328154564187,94074.99379070342,216.65,2.232877191718722e-06,1.4215474148823518e-05,1750.7460243390383,6.950037299537836,0.03769178562233752,12.655523087166328,1.5427018770386556,8.75189011249259,448.488096739673,2.0701043006677726,1667.8202859385906,7.47676771824935,0.0008730195889788107,True,44196.30580771302,5.93328154564187,8.343887409367786,1384291.19512914,3.072835981127725e-05,1304144.861981431,2608289.7238294254
6540,cone,10.972100915790161,27010.33580965233,216.65,0.032336645451611225,1.4215474148823518e-05,3237.5611892336474,13.529079642923492,0.04650400803175533,11.964998792080888,2.878965522385461,2.215977569659617,1046.1369749273158,4.828695937813597,1954.2803159462965,26.038910001992466,0.00037742326179991545,False,,,,,,,
6541,cone,11.173224028133955,75465.39566824152,216.65,3.18744577589197e-05,1.4215474148823518e-05,3296.907014411491,6.084094997012403,0.007160204196879438,36.940008345039686,3.9373768948240926,8.138332379695587,1065.241319984642,4.91687662120767,1243.7276073341563,48.70391239731489,0.0003867292951385236,False,,,,,,,
6542,cone,7.946741698066088,44921.989018720444,216.65,0.002502758490903786,1.4215474148823518e-05,2344.862000448584,14.541572381362027,0.03700702634103845,45.277931278738485,11.744725605935834,9.481299118150902,1193.260649037616,5.507780517136469,361.3734507438291,433.3468281883011,0.0007176649717598381,False,,,,,,,
6543,cone,11.126868740273203,60978.49312503525,216.65,0.00025248769074979197,1.4215474148823518e-05,3283.228860879587,7.019098772142845,0.03184804554281869,39.43216952726117,4.85500450942349,7.917199529964062,1188.776983740704,5.487085085348276,588.9243764092549,74.05069653699853,0.00022184782183553138,False,,,,,,,
6544,cone,6.735267299638115,42835.20970237542,216.65,0.003371995989710254,1.4215474148823518e-05,1987.3896691053642,13.832616834059255,0.03637658686554207,24.35463738579008,5.996775601310804,7.669387978962221,348.1981062158876,1.6071918126743023,1063.2550201746178,112.9758112247656,8.323318432672526e-05,True,42835.20970237542,6.735267299638115,8.004814961620681,1618611.1612839187,3.17532552872297e-05,1426957.235285222,2853914.470570444
6545,cone,11.235138763607804,27378.41939720359,216.65,0.030680207860389618,1.4215474148823518e-05,3315.1763272942526,12.97773933213723,0.04919749217118405,23.12200415718807,5.328673900419671,3.735343527953886,593.1625189805318,2.737883770969452,1909.6943534931622,89.20478681148715,0.0002693906590983355,False,,,,,,,
6546,cone,7.157612340720652,34914.11597877004,216.65,0.010455097604415702,1.4215474148823518e-05,2112.0119200278205,6.2637279330220075,0.013705158879074582,20.158477321449553,2.212600305702918,8.326626852998738,1040.5087234996622,4.802717394413396,1336.1442548326124,15.37998134927531,0.0004708946301460145,False,,,,,,,
6547,cone,8.793126728312949,32590.019462128206,216.65,0.014572022986634675,1.4215474148823518e-05,2594.60663423445,7.996940484902218,0.0398697496106179,25.85275543771896,3.6319600705984083,9.499826153403976,397.6735043281125,1.8355573705428685,565.2837950049684,41.441169523728504,0.0005322410290434951,False,,,,,,,
6548,cone,5.687242766527994,64628.85694541075,216.65,0.0001498870412771825,1.4215474148823518e-05,1678.1468376910955,11.541203457198893,0.041061181900747895,23.61095784816431,4.821388575172606,7.311285952760341,1193.516119753344,5.508959703454161,1835.713990467138,73.02879615678327,0.0006898344568785885,False,,,,,,,
6549,cone,8.47247096769158,57176.018815752046,216.65,0.00043466391080821114,1.4215474148823518e-05,2499.990055909152,14.744166597928533,0.009073511762013702,37.48706624462552,9.86543981490482,2.202399430940081,717.2755625552917,3.3107572700451957,742.7458457509815,305.76148264937376,0.0008337104477082571,True,32233.460271967597,8.47247096769158,7.790860543836244,1977680.2678648708,4.268937577884339e-05,1504326.7727922646,3008653.5455294712
6550,cone,6.5637207583359105,81520.02548478337,216.65,1.3421499683660736e-05,1.4215474148823518e-05,1936.7710657467305,9.111145337377668,0.0336475941558891,4.2149381990296995,0.675964679829529,0.6361472348126498,1189.6762364059055,5.491235801550452,1462.9105283955523,1.4354824283189538,0.0006244880234630314,False,,,,,,,
6551,cone,5.239125369817261,58942.55248346401,216.65,0.00033771797750284973,1.4215474148823518e-05,1545.9198828949357,14.21606735729849,0.010516696853080047,17.726634947340234,4.4908179399572585,8.951154143955819,687.9690476206068,3.175486026404832,580.4871338428279,63.357899472206036,0.0009157137101208459,True,43514.636061617726,5.239125369817261,7.998656582300581,1301588.3844406605,3.253317034338653e-05,1176916.9884463644,2353833.976414478
6552,cone,11.020235800383507,57215.24190647044,216.65,0.0004322351699279823,1.4215474148823518e-05,3251.764452164212,9.793728333675226,0.029102569922177957,6.310893703212894,1.0893692285023138,6.11783958983167,1132.7647655281905,5.228547267612234,625.8155160828817,3.7282075345988983,3.470657955010964e-05,False,,,,,,,
6553,cone,10.024496123381475,30242.82182732915,216.65,0.02037721580594147,1.4215474148823518e-05,2957.949424615346,14.03499201707995,0.01689240547896252,49.3299647801665,12.33134639789909,6.717375294319222,886.0731622698405,4.089883047633697,559.5442690848641,477.7171887686168,0.00016345841784734175,False,,,,,,,
6554,cone,8.716257727828635,34998.42045605867,216.65,0.010329936869623042,1.4215474148823518e-05,2571.924734520509,13.962811782016276,0.032264978150449784,31.815981880751977,7.910684666214231,3.3121828741317234,1187.4062319558584,5.480758051954112,1019.3421816518693,196.59751268970695,0.0001311871458449889,False,,,,,,,
6555,cone,7.988848624296779,73509.74954181729,216.65,4.214782197448789e-05,1.4215474148823518e-05,2357.2865808647393,14.374665026358626,0.010962816244247556,12.599543029515202,3.2290749565673726,1.9301637015437383,398.49365593616153,1.8393429768574268,1440.8060916912973,32.75715121556143,0.0004118584120527681,True,33548.07361639984,7.988848624296778,9.286292603463195,1566948.655461229,3.690047424685199e-05,1533863.0945241374,3067726.1880705776
6556,cone,8.583160350095188,43164.79315021001,216.65,0.0032169107388183493,1.4215474148823518e-05,2532.651407757861,5.416408818353129,0.02458967311779439,28.763598078455793,2.7272719218269494,0.4151131681046304,978.9889335835713,4.518758059467212,1764.09777883989,23.367204282467647,0.0004626869310901958,False,,,,,,,
6557,cone,6.050033696146009,69715.07515756313,216.65,7.247773059849463e-05,1.4215474148823518e-05,1785.1963300856607,7.780134358254466,0.011241948701527657,20.50936498117856,2.802189421497047,7.104742155447754,660.2557246307686,3.047568542029857,1509.179560765828,24.668619778325365,0.0005325317362134002,True,39302.45847808928,6.050033696146009,7.57660396720631,2062397.9900883967,3.435010539260754e-05,1323165.5831717085,2646331.166343417
6558,cone,8.687388040744658,81307.93594160757,216.65,1.3834374231220838e-05,1.4215474148823518e-05,2563.4060944564267,14.284593255965868,0.029330522005674528,15.170625907270363,3.862599949614372,5.8101725764932315,664.6429797705828,3.067818969631123,1780.1316304179777,46.87155196350513,0.0003436807067881456,True,39835.43170293525,8.687388040744658,7.553908060460966,1802272.3787690653,4.27745550353643e-05,1495203.0509919275,2990406.101983855
6559,cone,6.1532650549286885,38359.382187048344,216.65,0.0063911152367804175,1.4215474148823518e-05,1815.6570270179755,14.83170042157705,0.020378860179707883,15.268788609072558,4.043226878862412,1.6520367327553416,1035.9042523930761,4.781464354456848,1700.1331038741216,51.35776268198092,0.000770215587580764,False,,,,,,,
6560,cone,6.323526974352742,58110.35905156189,216.65,0.00038035154256795385,1.4215474148823518e-05,1865.8965742626103,8.298122221988734,0.04952534852128739,4.0443453257420625,0.5898708086688429,3.7032163947962498,808.9343786454034,3.7338305037867685,1794.4206193969485,1.0931095326355378,0.0004780378360697244,True,33540.20723781425,6.323526974352742,7.514275369550705,2360411.6185007878,3.7243213477662714e-05,1364591.3378958704,2729182.675791741
6561,cone,7.602864795260837,57588.47666060933,216.65,0.0004097923485165925,1.4215474148823518e-05,2243.393510235014,13.122754378162698,0.028708000726155758,40.371181890247804,9.411571068234954,4.173727675715012,701.0546929565312,3.235885958719276,247.31672509176644,278.27495725751004,0.0003126055270465051,True,34398.486059021685,7.602864795260836,7.963384476842342,2657701.4480693717,3.964991072792205e-05,1531548.0492059898,3063096.09820625
6562,cone,5.201331217007909,97706.93050245641,216.65,1.3290213876951454e-06,1.4215474148823518e-05,1534.7678817189867,11.849376707853015,0.024059361973769372,46.74239033005153,9.807041679567014,5.0615618580927615,1114.4151526849496,5.143850231640663,914.7470847948248,302.152307167839,0.0009946505631162445,False,,,,,,,
6563,cone,7.715604723239272,72026.7133868126,216.65,5.2093767598124525e-05,1.4215474148823518e-05,2276.659920934418,7.172602922966279,0.009363379553466812,28.65581951919627,3.6061517012291455,8.61749609702311,1182.9538161549272,5.460206859704257,1862.9692289630623,40.85430788275681,0.0006313636511207614,False,,,,,,,
6564,cone,6.024526020495033,29424.773447497104,216.65,0.022903310391365308,1.4215474148823518e-05,1777.6697258966385,6.638896665415169,0.046538487998318986,21.423475711186867,2.4935204367612855,7.207183564829323,484.0591339367945,2.2342909482427626,209.73393584828926,19.533305242540134,0.0005232392887329645,False,,,,,,,
