sample_index,shape,init_Mach,init_altitude_m,init_T_inf_K,init_rho_kg_m3,init_mu_Pa_s,init_velocity_m_s,cone_half_angle_deg,nose_radius_m,cone_slant_length_m,base_radius_m,x_sensor_m,T_wall_K,Tw_over_Tinf_init,mass_kg,A_ref_m2,roughness_m,transition_detected,transition_time_s,transition_altitude_m,transition_Mach,N_at_transition,Re_x_at_transition,mu_star_at_transition,Re_crit_low_used,Re_crit_high_used
1190,cone,4.965324258125923,76846.58257019758,216.65,2.6166829977624216e-05,1.4215474148823518e-05,1465.128805635958,8.456857107364929,0.029924465303247404,27.162507024168853,4.038556418654777,4.977277677684929,1048.235011232667,4.838379927222095,1993.2991136721223,51.239181233725226,0.0006084619661359098,True,117.0,25378.542327348212,0.69966601398173,8.03050340129947,1338493.5303356112,3.134219245648227e-05,834279.7656,1668559.531
1191,cone,4.6870327419255,28869.638081820965,216.65,0.024793623692193626,1.4215474148823518e-05,1383.0127351533351,13.46728813300592,0.009093128987062476,0.5886888795054414,0.1409762722710231,0.29520816060094884,570.2865904165296,2.6322944399562873,1240.2471995318517,0.06243698422850211,0.00030764288180829734,True,18.0,20952.988036232513,4.720304769290657,7.741125067818264,1078672.4801605626,2.9284805525009925e-05,1071670.290224723,2143340.581008836
1192,cone,7.197615350993872,95425.86886659691,216.65,1.8409998497826023e-06,1.4215474148823518e-05,2123.8156934807885,14.614675484762948,0.034198755998927875,8.118849689424284,2.117022709864379,5.368536370993886,1174.5384097941842,5.421363534706597,1807.2146807835418,14.079943315030295,0.00023586833860194507,False,,,,,,,,
1193,cone,10.912734900831872,40222.86366058945,216.65,0.004897364202508529,1.4215474148823518e-05,3220.0439327425206,9.817932131467082,0.03704662458163716,17.373197491446856,3.006472179173052,2.3196802218734116,1159.77186486346,5.353205007447311,1015.8638661609831,28.396463184063826,0.0007215670497352214,True,106.0,19158.398009888606,0.404270541926826,7.519390798427942,842995.5528903133,3.300018652242663e-05,834279.7656,1668559.531
1194,cone,6.064760101887851,81716.0772078353,216.65,1.3050813724502612e-05,1.4215474148823518e-05,1789.541681997078,7.645309414083932,0.047929603859761055,49.68499095311959,6.669387734352792,5.646740662236078,635.4280939670004,2.9329706622063254,1582.6246887972438,139.7403432372581,0.0005874149921461665,True,147.0,28282.751946145007,0.4473559382101775,7.597508677826592,838644.1830896563,2.396365933986022e-05,834279.7656,1668559.531
1195,cone,10.122676275229265,48629.93642363326,216.65,0.0014735681135449054,1.4215474148823518e-05,2986.9196511576506,11.091283409140704,0.035943564875290566,22.030207095826842,4.318674367958831,2.880245564700549,789.7263192030612,3.645171101791189,1004.5138625000435,58.593682150656285,0.00035401518513700697,True,164.0,19472.680932698946,0.27610352498324287,7.788043191116943,836379.3753621387,2.6842174778954843e-05,834279.7656,1668559.531
1196,cone,9.050626882747821,71382.14986890592,216.65,5.7118372234238934e-05,1.4215474148823518e-05,2670.5877533125895,9.642775761852052,0.008942712324303537,14.962143691674578,2.5421485964880834,9.520790772972326,1168.2019364534378,5.392116023325354,1309.6713220162126,20.302603742866168,0.00019462574027566512,False,,,,,,,,
1197,cone,5.492280255889493,27457.587519439166,216.65,0.030335177716431048,1.4215474148823518e-05,1620.6188343813203,9.374085551805415,0.014124885309367882,16.631390533729316,2.7455810162145147,9.930949421851563,628.5913454689645,2.9014140109345234,1028.0098855021954,23.682001231482317,0.000944395753278936,False,,,,,,,,
1198,cone,9.752188810017437,80061.9743749473,216.65,1.6529569879426794e-05,1.4215474148823518e-05,2877.5991256107905,14.02303114287869,0.008203979870848251,7.921881035603257,1.9785294228809305,5.631087923136218,1070.7506938860975,4.942306456894057,1033.421024452899,12.2980116142082,0.00023797888764517697,False,,,,,,,,
1199,cone,11.659317656275732,58724.41802238495,216.65,0.0003484076586105508,1.4215474148823518e-05,3440.339696710354,9.037306966277828,0.023837655265901238,48.89735996221926,7.777221559262673,4.958528849888879,1150.033456327561,5.308255048823268,379.83052080676737,190.01978200242343,0.0004969153662757176,False,,,,,,,,
