Row,M_inf,theta_c_deg,beta_deg,M2,P2_P1,rho2_rho1,T2_T1,status
121,10.990137,11.813238,NaN,NaN,NaN,NaN,NaN,0
122,7.125267,12.746067,NaN,NaN,NaN,NaN,NaN,0
123,11.630586,10.030762,NaN,NaN,NaN,NaN,NaN,0
124,7.723373,7.101297,12.942535,6.219857,3.324373,2.246396,1.479869,1
125,5.940532,5.494051,13.655989,5.202874,2.128209,1.694009,1.256316,1
126,11.499648,8.487893,NaN,NaN,NaN,NaN,NaN,0
127,5.243349,9.890540,18.765055,4.174552,3.152543,2.175926,1.448828,1
128,9.386986,5.606946,10.400214,7.682565,3.183477,2.188807,1.454435,1
129,7.296682,7.288651,13.506819,5.903753,3.221764,2.204631,1.461362,1
130,9.141639,10.020110,NaN,NaN,NaN,NaN,NaN,0
131,8.715253,13.584215,NaN,NaN,NaN,NaN,NaN,0
132,10.858158,7.998356,NaN,NaN,NaN,NaN,NaN,0
133,9.610218,7.740172,12.296433,7.170236,4.720401,2.735197,1.725799,1
134,9.880434,13.070284,NaN,NaN,NaN,NaN,NaN,0
135,4.815023,6.935531,NaN,NaN,NaN,NaN,NaN,0
136,7.306112,7.849295,14.015757,5.804334,3.486145,2.310409,1.508887,1
137,9.773931,11.375819,NaN,NaN,NaN,NaN,NaN,0
138,9.948225,8.391040,NaN,NaN,NaN,NaN,NaN,0
139,10.955027,12.764780,NaN,NaN,NaN,NaN,NaN,0
140,9.221256,11.658031,NaN,NaN,NaN,NaN,NaN,0
141,10.475993,5.499615,9.740281,8.422556,3.498107,2.315055,1.511025,1
142,5.707308,5.785108,14.284041,4.982057,2.146730,1.703798,1.259968,1
143,6.072669,6.396387,NaN,NaN,NaN,NaN,NaN,0
144,7.177979,7.227461,13.569444,5.836367,3.142320,2.171650,1.446973,1
145,6.538768,13.996058,NaN,NaN,NaN,NaN,NaN,0
146,10.482462,9.160270,NaN,NaN,NaN,NaN,NaN,0
147,4.582998,5.053656,16.177503,4.136023,1.735515,1.475415,1.176290,1
148,7.646003,9.239614,NaN,NaN,NaN,NaN,NaN,0
149,6.682122,10.568018,NaN,NaN,NaN,NaN,NaN,0
150,5.223483,7.982701,NaN,NaN,NaN,NaN,NaN,0
151,8.180936,7.240276,12.702010,6.479972,3.608411,2.357358,1.530701,1
